ssr_weight,production_per_person_weight,spearman_country_rank_vs_50_50,margin_min_category1_minus_max_category2,margin_min_category2_minus_max_category3,margin_min_flexible1_minus_max_category3,margin_min_category1_minus_max_flexible2,all_category_constraints_pass
0.54,0.45999999999999996,0.9985537941420735,0.05862068965517242,-0.5013793103448276,0.33965517241379306,-0.04655172413793096,False
0.55,0.44999999999999996,0.9981088058202632,0.06034482758620696,-0.5017241379310345,0.3405172413793103,-0.04741379310344829,False
0.56,0.43999999999999995,0.9981088058202632,0.06206896551724128,-0.5020689655172413,0.3413793103448277,-0.0482758620689655,False
0.57,0.43000000000000005,0.9967738408548326,0.06379310344827571,-0.5024137931034482,0.3422413793103448,-0.04913793103448272,False
0.58,0.42000000000000004,0.9936589226021613,0.06551724137931014,-0.5089655172413793,0.336896551724138,-0.04896551724137943,False
0.59,0.41000000000000003,0.9923239576367308,0.0672413793103448,-0.5165517241379309,0.3305172413793104,-0.04862068965517241,False
0.6,0.4,0.9922118380062308,0.06896551724137945,-0.5241379310344828,0.32413793103448274,-0.04827586206896539,False
0.61,0.39,0.9918789693149205,0.07068965517241366,-0.5317241379310345,0.3177586206896553,-0.04879310344827603,False
0.62,0.38,0.9896540277058695,0.0724137931034482,-0.5393103448275862,0.3113793103448276,-0.04931034482758623,False
0.63,0.37,0.9887640510622491,0.07413793103448274,-0.5468965517241379,0.30500000000000005,-0.049827586206896424,False
0.64,0.36,0.9878740744186287,0.07586206896551728,-0.5544827586206896,0.2986206896551724,-0.05034482758620684,False
0.65,0.35,0.9865391094531981,0.0775862068965516,-0.5620689655172414,0.2922413793103449,-0.05086206896551726,False
0.66,0.33999999999999997,0.9847591561659573,0.07931034482758614,-0.569655172413793,0.28586206896551725,-0.05137931034482757,False
0.67,0.32999999999999996,0.9825342145569064,0.08103448275862069,-0.5772413793103448,0.2794827586206896,-0.051896551724137874,False
0.68,0.31999999999999995,0.9825342145569064,0.08275862068965512,-0.5848275862068966,0.2731034482758621,-0.05241379310344829,False
0.69,0.31000000000000005,0.9794192963042353,0.08448275862068966,-0.5924137931034482,0.26672413793103456,-0.0529310344827586,False
0.7,0.30000000000000004,0.9794192963042353,0.08620689655172398,-0.6,0.2603448275862069,-0.05344827586206902,False
0.71,0.29000000000000004,0.9794192963042353,0.08793103448275852,-0.6075862068965517,0.2539655172413793,-0.053965517241379324,False
0.72,0.28,0.9794192963042353,0.08965517241379306,-0.6151724137931034,0.24758620689655175,-0.05448275862068963,False
0.73,0.27,0.9794192963042353,0.0913793103448276,-0.6227586206896552,0.24120689655172411,-0.05499999999999994,False
0.74,0.26,0.9794192963042353,0.09310344827586192,-0.6303448275862068,0.2348275862068967,-0.055517241379310356,False
0.75,0.25,0.9788583570112036,0.09482758620689657,-0.6379310344827587,0.22844827586206895,-0.05603448275862066,False
0.76,0.24,0.9778618371778997,0.09724137931034471,-0.6455172413793103,0.2220689655172413,-0.055862068965517375,False
0.77,0.22999999999999998,0.9778618371778997,0.09965517241379307,-0.6531034482758621,0.21568965517241379,-0.055689655172413866,False
0.78,0.21999999999999997,0.9778618371778997,0.10206896551724132,-0.6606896551724137,0.20931034482758626,-0.055517241379310356,False
0.79,0.20999999999999996,0.9725219773161772,0.10448275862068956,-0.6682758620689656,0.2029310344827585,-0.05534482758620696,False
0.8,0.19999999999999996,0.9715175789942149,0.1068965517241377,-0.6758620689655173,0.1965517241379311,-0.05517241379310367,False
0.81,0.18999999999999995,0.9702970357071262,0.10844827586206884,-0.683448275862069,0.19103448275862056,-0.055862068965517264,False
0.82,0.18000000000000005,0.9645121875235936,0.1100000000000001,-0.6910344827586208,0.18551724137931025,-0.05655172413793097,False
0.83,0.17000000000000004,0.9631772225581631,0.11155172413793091,-0.6986206896551723,0.18000000000000005,-0.0572413793103449,False
0.84,0.16000000000000003,0.9596173159836815,0.11310344827586205,-0.7062068965517242,0.17448275862068963,-0.0579310344827586,False
0.85,0.15000000000000002,0.9596173159836815,0.11465517241379308,-0.7137931034482757,0.16896551724137943,-0.05862068965517242,False
0.86,0.14,0.9596173159836815,0.11620689655172411,-0.7213793103448276,0.163448275862069,-0.05931034482758624,False
0.87,0.13,0.9569473860528203,0.11775862068965504,-0.7289655172413794,0.1579310344827587,-0.06000000000000005,False
0.88,0.12,0.9542774561219591,0.11931034482758618,-0.736551724137931,0.15241379310344816,-0.06068965517241387,False
0.89,0.10999999999999999,0.9498275729038571,0.12086206896551721,-0.7441379310344828,0.14689655172413785,-0.061379310344827576,False
