iso3,country,year,legacy_category,capacity_v2_rank_50_50,capacity_v2_rank_legacy_56_44,capacity_v2_minmax_50_50,ssr_percentile_rank,production_per_person_percentile_rank,arable_land_hectares_per_person,electricity_access_pct,female_agricultural_employment_pct,fertilizer_consumption_kg_per_hectare_arable_land,rural_population_growth_pct,rural_population_pct
COL,Colombia,2017,unclassified,0.0862068965517241,0.0841784989858012,0.0463149165523004,0.0689655172413793,0.103448275862069,0.037000376347274,98.5,6.63849703154838,678.382114788968,1.35978593473219,22.7754808293497
COL,Colombia,2018,unclassified,0.0689655172413793,0.0689655172413793,0.0397500934212875,0.0689655172413793,0.0689655172413793,0.0456074941358361,98.5,6.58901092354511,514.170464196919,1.59312291702216,22.7195183401916
COL,Colombia,2019,unclassified,0.0689655172413793,0.0689655172413793,0.0335092009782396,0.0689655172413793,0.0689655172413793,0.0464037167599533,99.4,5.79314781942348,464.186956694457,0.994853343884892,22.5404471481623
COL,Colombia,2020,unclassified,0.0689655172413793,0.0689655172413793,0.0437996154942821,0.0689655172413793,0.0689655172413793,0.0463052308693599,99.7,6.17554813956831,524.541598254623,0.64036590784834,22.3617466462955
COL,Colombia,2021,unclassified,0.0862068965517241,0.0841784989858012,0.0386592596231898,0.0689655172413793,0.103448275862069,0.0468220129677221,100,6.10739067921108,511.661435170947,0.217397681119486,22.1660429673872
DEU,Germany,2010,category_2,0.793103448275862,0.789046653144016,0.354303007699603,0.758620689655172,0.827586206896552,0.144857479976321,100,1.1025311459368,211.596825932804,-0.311410158900554,19.694297440051
DEU,Germany,2011,category_2,0.724137931034483,0.720081135902637,0.362453807278411,0.689655172413793,0.758620689655172,0.147929025410071,100,1.32380700164692,191.486989473684,-2.03094816713517,19.6594237071802
DEU,Germany,2012,category_2,0.758620689655172,0.750507099391481,0.319172991517138,0.689655172413793,0.827586206896552,0.147141795490237,100,1.11389131171639,198.921581882711,-0.0815712590867816,19.606552479782
DEU,Germany,2013,category_2,0.758620689655172,0.750507099391481,0.398289420179516,0.689655172413793,0.827586206896552,0.147261589766733,100,1.01583618783883,203.47061300101,-0.13485760214444,19.5267681599638
DEU,Germany,2014,category_2,0.775862068965517,0.765720081135903,0.476370782905143,0.689655172413793,0.862068965517241,0.146562528941438,100,1.03394894777773,217.69567781616,-0.109467875689582,19.42425976257
DEU,Germany,2015,category_2,0.810344827586207,0.804259634888438,0.471224413054172,0.758620689655172,0.862068965517241,0.145017645547812,100,0.969383390601599,202.273932128989,0.237209877225495,19.3025628367186
DEU,Germany,2016,category_2,0.793103448275862,0.789046653144016,0.322718520206172,0.758620689655172,0.827586206896552,0.142843838799629,100,0.901142710164774,197.228258097424,0.093115970588129,19.1652129315275
DEU,Germany,2017,category_2,0.758620689655172,0.750507099391481,0.347512962975541,0.689655172413793,0.827586206896552,0.142419876297957,100,0.88168241977682,178.118926265715,-0.409224110166647,19.0157455961147
DEU,Germany,2018,category_2,0.672413793103448,0.66632860040568,0.299152634340498,0.620689655172414,0.724137931034483,0.141497971757868,100,0.881147933566418,166.481118404228,-0.534092177963821,18.8576963795982
DEU,Germany,2019,category_2,0.706896551724138,0.696754563894523,0.282837117131432,0.620689655172414,0.793103448275862,0.140974635132155,100,0.813475565300963,174.098685333789,-0.643116557610684,18.6946008310961
DEU,Germany,2020,category_2,0.741379310344828,0.735294117647059,0.30549974452776,0.689655172413793,0.793103448275862,0.140258271224697,100,0.756750384126601,163.242026748971,-0.802709799868654,18.5299944997262
